matrix dimension: 16, time: 38.484, cross-over: 16, padding: 0, num_trials: 1000
matrix dimension: 17, time: 51.213, cross-over: 17, padding: 0, num_trials: 1000
matrix dimension: 18, time: 52.87, cross-over: 18, padding: 0, num_trials: 1000
matrix dimension: 19, time: 61.965, cross-over: 19, padding: 0, num_trials: 1000
matrix dimension: 20, time: 69.994, cross-over: 20, padding: 0, num_trials: 1000
matrix dimension: 21, time: 79.919, cross-over: 21, padding: 0, num_trials: 1000
matrix dimension: 22, time: 93.961, cross-over: 22, padding: 0, num_trials: 1000
matrix dimension: 23, time: 111.784, cross-over: 23, padding: 0, num_trials: 1000
matrix dimension: 24, time: 129.405, cross-over: 24, padding: 0, num_trials: 1000
matrix dimension: 25, time: 148.999, cross-over: 25, padding: 0, num_trials: 1000
matrix dimension: 26, time: 179.008, cross-over: 26, padding: 0, num_trials: 1000
matrix dimension: 27, time: 190.184, cross-over: 27, padding: 0, num_trials: 1000
matrix dimension: 28, time: 194.084, cross-over: 28, padding: 0, num_trials: 1000
matrix dimension: 29, time: 232.293, cross-over: 29, padding: 0, num_trials: 1000
matrix dimension: 30, time: 240.007, cross-over: 30, padding: 0, num_trials: 1000
matrix dimension: 31, time: 263.126, cross-over: 31, padding: 0, num_trials: 1000
matrix dimension: 32, time: 305.836, cross-over: 32, padding: 0, num_trials: 1000
matrix dimension: 33, time: 335.619, cross-over: 33, padding: 0, num_trials: 1000
matrix dimension: 34, time: 354.069, cross-over: 34, padding: 0, num_trials: 1000
matrix dimension: 35, time: 420.005, cross-over: 35, padding: 0, num_trials: 1000
matrix dimension: 36, time: 439.764, cross-over: 36, padding: 0, num_trials: 250
matrix dimension: 37, time: 453.032, cross-over: 37, padding: 0, num_trials: 250
matrix dimension: 38, time: 512.796, cross-over: 38, padding: 0, num_trials: 250
matrix dimension: 39, time: 591.204, cross-over: 39, padding: 0, num_trials: 250
matrix dimension: 40, time: 581.872, cross-over: 40, padding: 0, num_trials: 250
matrix dimension: 41, time: 616.048, cross-over: 41, padding: 0, num_trials: 250
matrix dimension: 42, time: 680, cross-over: 42, padding: 0, num_trials: 250
matrix dimension: 43, time: 698.8, cross-over: 43, padding: 0, num_trials: 250
matrix dimension: 44, time: 792.652, cross-over: 44, padding: 0, num_trials: 250
matrix dimension: 45, time: 798.312, cross-over: 45, padding: 0, num_trials: 250
matrix dimension: 46, time: 878.532, cross-over: 46, padding: 0, num_trials: 250
matrix dimension: 47, time: 955.92, cross-over: 47, padding: 0, num_trials: 250
matrix dimension: 48, time: 951.936, cross-over: 48, padding: 0, num_trials: 250
matrix dimension: 49, time: 1095.94, cross-over: 49, padding: 0, num_trials: 250
