matrix dimension: 16, time: 51.5, cross-over: 16, padding: 0
matrix dimension: 17, time: 71.5, cross-over: 17, padding: 0
matrix dimension: 18, time: 55.1, cross-over: 18, padding: 0
matrix dimension: 19, time: 59.9, cross-over: 19, padding: 0
matrix dimension: 20, time: 70, cross-over: 20, padding: 0
matrix dimension: 21, time: 84.9, cross-over: 21, padding: 0
matrix dimension: 22, time: 91.3, cross-over: 22, padding: 0
matrix dimension: 23, time: 104.9, cross-over: 23, padding: 0
matrix dimension: 24, time: 162, cross-over: 24, padding: 0
matrix dimension: 25, time: 134, cross-over: 25, padding: 0
matrix dimension: 26, time: 166.5, cross-over: 26, padding: 0
matrix dimension: 27, time: 168.9, cross-over: 27, padding: 0
matrix dimension: 28, time: 189.3, cross-over: 28, padding: 0
matrix dimension: 29, time: 266.4, cross-over: 29, padding: 0
matrix dimension: 30, time: 231.5, cross-over: 30, padding: 0
matrix dimension: 31, time: 259.4, cross-over: 31, padding: 0
matrix dimension: 32, time: 290.8, cross-over: 32, padding: 0
matrix dimension: 33, time: 332.5, cross-over: 33, padding: 0
matrix dimension: 34, time: 340.5, cross-over: 34, padding: 0
matrix dimension: 35, time: 386, cross-over: 35, padding: 0
matrix dimension: 36, time: 416.6, cross-over: 36, padding: 0
matrix dimension: 37, time: 447.6, cross-over: 37, padding: 0
matrix dimension: 38, time: 495.2, cross-over: 38, padding: 0
matrix dimension: 39, time: 518.3, cross-over: 39, padding: 0
matrix dimension: 40, time: 564, cross-over: 40, padding: 0
matrix dimension: 41, time: 643.6, cross-over: 41, padding: 0
matrix dimension: 42, time: 668.6, cross-over: 42, padding: 0
matrix dimension: 43, time: 709.3, cross-over: 43, padding: 0
matrix dimension: 44, time: 803.4, cross-over: 22, padding: 0
matrix dimension: 45, time: 1002.1, cross-over: 45, padding: 0
matrix dimension: 46, time: 881, cross-over: 46, padding: 0
matrix dimension: 47, time: 1018.4, cross-over: 24, padding: 1
matrix dimension: 48, time: 951.2, cross-over: 48, padding: 0
matrix dimension: 49, time: 1113.3, cross-over: 49, padding: 0
matrix dimension: 50, time: 1082, cross-over: 50, padding: 0
matrix dimension: 51, time: 1163.8, cross-over: 51, padding: 0
matrix dimension: 52, time: 1239.9, cross-over: 52, padding: 0
matrix dimension: 53, time: 1269.6, cross-over: 53, padding: 0
matrix dimension: 54, time: 1355.7, cross-over: 54, padding: 0
matrix dimension: 55, time: 1446.2, cross-over: 55, padding: 0
matrix dimension: 56, time: 1493.5, cross-over: 56, padding: 0
matrix dimension: 57, time: 1573.6, cross-over: 57, padding: 0
matrix dimension: 58, time: 1681.4, cross-over: 29, padding: 0
matrix dimension: 59, time: 1817.1, cross-over: 59, padding: 0
matrix dimension: 60, time: 1920.6, cross-over: 30, padding: 0
matrix dimension: 61, time: 2046.4, cross-over: 61, padding: 0
matrix dimension: 62, time: 2028.3, cross-over: 62, padding: 0
matrix dimension: 63, time: 2136.2, cross-over: 63, padding: 0
matrix dimension: 64, time: 2268.3, cross-over: 64, padding: 0
