matrix dimension: 16, time: 38, cross-over: 16, padding: 0
matrix dimension: 17, time: 70, cross-over: 17, padding: 0
matrix dimension: 18, time: 52, cross-over: 18, padding: 0
matrix dimension: 19, time: 58, cross-over: 19, padding: 0
matrix dimension: 20, time: 69, cross-over: 20, padding: 0
matrix dimension: 21, time: 80, cross-over: 21, padding: 0
matrix dimension: 22, time: 139, cross-over: 22, padding: 0
matrix dimension: 23, time: 104, cross-over: 23, padding: 0
matrix dimension: 24, time: 123, cross-over: 24, padding: 0
matrix dimension: 25, time: 152, cross-over: 25, padding: 0
matrix dimension: 26, time: 150, cross-over: 26, padding: 0
matrix dimension: 27, time: 168, cross-over: 27, padding: 0
matrix dimension: 28, time: 285, cross-over: 28, padding: 0
matrix dimension: 29, time: 221, cross-over: 29, padding: 0
matrix dimension: 30, time: 229, cross-over: 30, padding: 0
matrix dimension: 31, time: 280, cross-over: 31, padding: 0
matrix dimension: 32, time: 327, cross-over: 16, padding: 0
matrix dimension: 33, time: 325, cross-over: 33, padding: 0
matrix dimension: 34, time: 338, cross-over: 34, padding: 0
matrix dimension: 35, time: 369, cross-over: 35, padding: 0
matrix dimension: 36, time: 403, cross-over: 36, padding: 0
matrix dimension: 37, time: 438, cross-over: 37, padding: 0
matrix dimension: 38, time: 470, cross-over: 38, padding: 0
matrix dimension: 39, time: 513, cross-over: 39, padding: 0
matrix dimension: 40, time: 555, cross-over: 40, padding: 0
matrix dimension: 41, time: 605, cross-over: 41, padding: 0
matrix dimension: 42, time: 651, cross-over: 42, padding: 0
matrix dimension: 43, time: 678, cross-over: 43, padding: 0
matrix dimension: 44, time: 783, cross-over: 22, padding: 0
matrix dimension: 45, time: 820, cross-over: 45, padding: 0
matrix dimension: 46, time: 902, cross-over: 46, padding: 0
matrix dimension: 47, time: 890, cross-over: 47, padding: 0
matrix dimension: 48, time: 942, cross-over: 48, padding: 0
matrix dimension: 49, time: 1105, cross-over: 25, padding: 1
matrix dimension: 50, time: 1068, cross-over: 50, padding: 0
matrix dimension: 51, time: 1234, cross-over: 26, padding: 1
matrix dimension: 52, time: 1199, cross-over: 52, padding: 0
matrix dimension: 53, time: 1264, cross-over: 53, padding: 0
matrix dimension: 54, time: 1341, cross-over: 54, padding: 0
matrix dimension: 55, time: 1438, cross-over: 55, padding: 0
matrix dimension: 56, time: 1495, cross-over: 56, padding: 0
matrix dimension: 57, time: 1689, cross-over: 57, padding: 0
matrix dimension: 58, time: 1699, cross-over: 58, padding: 0
matrix dimension: 59, time: 1806, cross-over: 59, padding: 0
matrix dimension: 60, time: 1973, cross-over: 30, padding: 0
matrix dimension: 61, time: 1928, cross-over: 61, padding: 0
matrix dimension: 62, time: 2431, cross-over: 33, padding: 4
matrix dimension: 63, time: 2130, cross-over: 63, padding: 0
matrix dimension: 64, time: 2247, cross-over: 64, padding: 0
