matrix dimension: 16, time: 44.6, cross-over: 16, padding: 0, num_trials: 10
matrix dimension: 17, time: 45.4, cross-over: 17, padding: 0, num_trials: 10
matrix dimension: 18, time: 50.1, cross-over: 18, padding: 0, num_trials: 10
matrix dimension: 19, time: 61.3, cross-over: 19, padding: 0, num_trials: 10
matrix dimension: 20, time: 77.3, cross-over: 20, padding: 0, num_trials: 10
matrix dimension: 21, time: 82.6, cross-over: 21, padding: 0, num_trials: 10
matrix dimension: 22, time: 184, cross-over: 22, padding: 0, num_trials: 10
matrix dimension: 23, time: 140.3, cross-over: 23, padding: 0, num_trials: 10
matrix dimension: 24, time: 149.7, cross-over: 24, padding: 0, num_trials: 10
matrix dimension: 25, time: 145.9, cross-over: 25, padding: 0, num_trials: 10
matrix dimension: 26, time: 249.6, cross-over: 26, padding: 0, num_trials: 10
matrix dimension: 27, time: 170.4, cross-over: 27, padding: 0, num_trials: 10
matrix dimension: 28, time: 212, cross-over: 28, padding: 0, num_trials: 10
matrix dimension: 29, time: 210.2, cross-over: 29, padding: 0, num_trials: 10
matrix dimension: 30, time: 248.5, cross-over: 30, padding: 0, num_trials: 10
matrix dimension: 31, time: 259.2, cross-over: 31, padding: 0, num_trials: 10
matrix dimension: 32, time: 326.2, cross-over: 32, padding: 0, num_trials: 10
matrix dimension: 33, time: 315.8, cross-over: 33, padding: 0, num_trials: 10
matrix dimension: 34, time: 387.4, cross-over: 34, padding: 0, num_trials: 10
matrix dimension: 35, time: 363.9, cross-over: 35, padding: 0, num_trials: 10
matrix dimension: 36, time: 398.4, cross-over: 36, padding: 0, num_trials: 10
matrix dimension: 37, time: 461.5, cross-over: 37, padding: 0, num_trials: 10
matrix dimension: 38, time: 542.5, cross-over: 19, padding: 0, num_trials: 10
matrix dimension: 39, time: 515.1, cross-over: 39, padding: 0, num_trials: 10
matrix dimension: 40, time: 547.7, cross-over: 40, padding: 0, num_trials: 10
matrix dimension: 41, time: 604.1, cross-over: 41, padding: 0, num_trials: 10
matrix dimension: 42, time: 673.5, cross-over: 42, padding: 0, num_trials: 10
matrix dimension: 43, time: 684.5, cross-over: 43, padding: 0, num_trials: 10
matrix dimension: 44, time: 787.9, cross-over: 44, padding: 0, num_trials: 10
matrix dimension: 45, time: 810.8, cross-over: 45, padding: 0, num_trials: 10
matrix dimension: 46, time: 827.8, cross-over: 46, padding: 0, num_trials: 10
matrix dimension: 47, time: 1038.6, cross-over: 47, padding: 0, num_trials: 10
matrix dimension: 48, time: 1008.5, cross-over: 24, padding: 0, num_trials: 10
matrix dimension: 49, time: 1142.4, cross-over: 25, padding: 1, num_trials: 10
matrix dimension: 50, time: 1069.3, cross-over: 50, padding: 0, num_trials: 10
matrix dimension: 51, time: 1386.5, cross-over: 51, padding: 0, num_trials: 10
matrix dimension: 52, time: 1219.3, cross-over: 52, padding: 0, num_trials: 10
matrix dimension: 53, time: 1333.7, cross-over: 53, padding: 0, num_trials: 10
matrix dimension: 54, time: 1399.2, cross-over: 27, padding: 0, num_trials: 10
matrix dimension: 55, time: 1454.8, cross-over: 55, padding: 0, num_trials: 10
matrix dimension: 56, time: 1567, cross-over: 28, padding: 0, num_trials: 10
matrix dimension: 57, time: 1580.2, cross-over: 57, padding: 0, num_trials: 10
matrix dimension: 58, time: 1680.4, cross-over: 58, padding: 0, num_trials: 10
matrix dimension: 59, time: 1770.7, cross-over: 59, padding: 0, num_trials: 10
matrix dimension: 60, time: 1834.2, cross-over: 60, padding: 0, num_trials: 10
matrix dimension: 61, time: 1946.1, cross-over: 61, padding: 0, num_trials: 10
matrix dimension: 62, time: 2066, cross-over: 62, padding: 0, num_trials: 10
matrix dimension: 63, time: 2418.2, cross-over: 63, padding: 0, num_trials: 10
matrix dimension: 64, time: 2229, cross-over: 64, padding: 0, num_trials: 10
