matrix dimension: 1, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 2, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 3, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 4, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 5, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 6, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 7, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 8, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 9, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 10, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 11, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 12, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 13, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 14, time: 2.14748e+08, cross-over: 0, padding: 0, num_trials: 10
matrix dimension: 15, time: 0.0001123, cross-over: 15, padding: 1, num_trials: 10
matrix dimension: 16, time: 0.0001079, cross-over: 15, padding: 0, num_trials: 10
matrix dimension: 17, time: 9.5e-05, cross-over: 16, padding: 1, num_trials: 10
matrix dimension: 18, time: 9.49e-05, cross-over: 16, padding: 0, num_trials: 10
matrix dimension: 19, time: 0.0001206, cross-over: 17, padding: 1, num_trials: 10
matrix dimension: 20, time: 0.0001215, cross-over: 16, padding: 0, num_trials: 10
matrix dimension: 21, time: 0.0001674, cross-over: 18, padding: 1, num_trials: 10
matrix dimension: 22, time: 0.0001789, cross-over: 17, padding: 0, num_trials: 10
matrix dimension: 23, time: 0.0002138, cross-over: 16, padding: 1, num_trials: 10
matrix dimension: 24, time: 0.0002021, cross-over: 20, padding: 0, num_trials: 10
matrix dimension: 25, time: 0.00027, cross-over: 25, padding: 1, num_trials: 10
matrix dimension: 26, time: 0.0002294, cross-over: 19, padding: 0, num_trials: 10
matrix dimension: 27, time: 0.0003609, cross-over: 16, padding: 1, num_trials: 10
matrix dimension: 28, time: 0.0003128, cross-over: 27, padding: 0, num_trials: 10
matrix dimension: 29, time: 0.0003405, cross-over: 17, padding: 1, num_trials: 10
matrix dimension: 30, time: 0.0003303, cross-over: 24, padding: 0, num_trials: 10
matrix dimension: 31, time: 0.0004298, cross-over: 20, padding: 1, num_trials: 10
matrix dimension: 32, time: 0.0004544, cross-over: 19, padding: 0, num_trials: 10
matrix dimension: 33, time: 0.0004669, cross-over: 17, padding: 1, num_trials: 10
matrix dimension: 34, time: 0.0004733, cross-over: 33, padding: 0, num_trials: 10
matrix dimension: 35, time: 0.0005406, cross-over: 23, padding: 1, num_trials: 10
matrix dimension: 36, time: 0.0005383, cross-over: 21, padding: 0, num_trials: 10
matrix dimension: 37, time: 0.0006468, cross-over: 30, padding: 1, num_trials: 10
matrix dimension: 38, time: 0.0006238, cross-over: 28, padding: 0, num_trials: 10
matrix dimension: 39, time: 0.000717, cross-over: 36, padding: 1, num_trials: 10
matrix dimension: 40, time: 0.0007102, cross-over: 21, padding: 0, num_trials: 10
matrix dimension: 41, time: 0.0008146, cross-over: 24, padding: 1, num_trials: 10
matrix dimension: 42, time: 0.0008324, cross-over: 38, padding: 0, num_trials: 10
matrix dimension: 43, time: 0.0009344, cross-over: 29, padding: 1, num_trials: 10
matrix dimension: 44, time: 0.0009228, cross-over: 38, padding: 0, num_trials: 10
matrix dimension: 45, time: 0.0010641, cross-over: 30, padding: 1, num_trials: 10
matrix dimension: 46, time: 0.001048, cross-over: 24, padding: 0, num_trials: 10
matrix dimension: 47, time: 0.0012479, cross-over: 35, padding: 1, num_trials: 10
matrix dimension: 48, time: 0.0011858, cross-over: 32, padding: 0, num_trials: 10
matrix dimension: 49, time: 0.0013167, cross-over: 27, padding: 1, num_trials: 10
matrix dimension: 50, time: 0.001317, cross-over: 49, padding: 0, num_trials: 10
matrix dimension: 51, time: 0.0014817, cross-over: 44, padding: 1, num_trials: 10
